,No.,Name,Address,Time,Phone
0,527,영주가흥,경북 영주시 대학로 324,주중 07:30~23:00 주말 및 공휴일 08:30~22:00,054.636.8497
1,526,부산하단오거리,"부산광역시 사하구 낙동대로 458, 1,2층",주중 주말 동일 08:00~23:00,051.293.8897
2,525,안산휴게소 인천방향,경기 안산시 단원구 선부동 311 1층,주중 주말 동일 08:00~20:00,031..
3,524,안산휴게소 강릉방향,경기 안산시 단원구 선부동 311 2층,주중 주말 동일 08:00~20:00,031..
4,523,안산휴게소 강릉DT,경기 안산시 단원구 선부동 311,주중 주말 동일 08:00~20:00,031..
5,522,충남부여,충남 부여군 부여읍 사비로 108번길 4,주중 주말 동일 09:00~23:00,041.837.7737
6,521,대구K병원,"대구광역시 북구 칠곡중앙대로 357, 1층(태전동)","주중 08:00~23:00 주말,공휴일 08:00~22:00",053.201.8497
7,520,왕십리역사,서울특별시 성동구 왕십리광장로 17. 왕십리민자역사 4층,주중 주말 동일 09:00~22:00,02.2200.1297
8,519,울산중앙병원,울산 남구 문수로 472,주중 08:00~21:00 주말 및 공휴일 08:00~20:00,052.227.8824
9,518,토성농협,"강원도 고성군 토성면 학사촌길97,1층 파스쿠찌",주중 주말 동일 09:00~20:00,033.680.4525
10,517,부산범일,부산광역시 동구 조방로 45 1층 (덕원빌딩),주중 09:00~21:00 주말 및 공휴일 10:00~21:00,051.633.8497
11,516,안양1번가,경기도 안양시 만안구 안양로 304번길12 2층,주중 주말 동일 10:00~23:00,031.465.8497
12,515,김포운양 DI,경기 김포시 모담공원로167번길 109,주중 주말 동일 08:00~22:00,031.985.8088
13,514,구미강동DT,경상북도 구미시 옥계신당로 5안길 37,주중 주말 동일 08:00~22:00,054.473.8497
14,513,하남감일DI,경기도 하남시 동남로 451(감일동),주중 주말 동일 08:00~21:30,02.402.8497
15,512,전주효자DT,전라북도 전주시 완산구 쑥고개로 285,주중 주말 동일 06:00~22:00,063.225.7605
16,511,신림역,"서울특별시 관악구 신림동 1640-8, 1층",주중 주말 동일 08:00~02:00,02.876.0077
17,510,전주만성법조타운,전라북도 전주시 덕진구 만성중앙로 17,주중 주말 동일 08:00~22:00,063.214.1230
18,509,소노벨변산,전라북도 부안군 변산면 변산해변로 51,주중 주말 동일 07:30~21:00,063.580.8829
19,508,인천공항LS 2호점,인천시 중구 공항로 271 인천국제공항 제1여객터미널 3층 H구역,주중 주말 도일 07:00~20:00,032.743.8576
20,507,양평휴게소 서울방향,경기 양평군 양동면 여양3로 384-27,주중 주말 동일 08:00~22:00,031.8027.2191
21,506,서대문역,서울시 서대문구 충정로 60 KT&G 빌딩 1층,"주중 07:00~21:00, 토/공휴일 07:00~20:00, 일 휴점",02.6956.8497
22,505,김포DT,경기 김포시 김포대로 1135,주중 주말 동일 07:00~23:00,031.984.8497
23,504,경기광주휴게소 서울방향,경기 광주시 곤지암읍 만삼로 211,"주중 08:00~20:00, 주말/공휴일 08:00~22:00",031.8027.3945
24,503,대전문지,대전 유성구 문지로 299번길 86-11,"주중 08:00~22:00, 주말/공휴일 09:00~22:00",042.862.8497
